dataset,file,inner,density_param,t_input,seed,size_multi,bbox_mm,n_tris,watertight,winding_ok,euler,VF,SAV_x_cell,rel_surface,interior_vert_frac,curv_gauss_mean_xL2,curv_gauss_iqr_xL2,curv_mean_mean_xL,curv_mean_iqr_xL,curv_gauss_p99_xL2,curv_mean_p99_xL,thickness_med_mm,thickness_std_mm,thickness_hits,thickness_over_cell,thickness_ratio,fabric_l1,fabric_l2,fabric_l3,fabric_DA,fabric_aniso,normal_x,normal_y,normal_z,normal_spread,fabric_kept_frac,extract_s,status,Run,E_over_Es,G_over_Gs,nu_iso,TAI,Zener_Z,C11_n,C12_n,C44_n,Rho_rel,L_star_mm,bbox_over_Lstar,SAV_x_cell_star,rel_surface_star,curv_mean_mean_xL_star,curv_mean_iqr_xL_star,curv_mean_p99_xL_star,curv_gauss_mean_xL2_star,curv_gauss_iqr_xL2_star,curv_gauss_p99_xL2_star,thickness_over_cell_star,family,topology,element_order,group_key
ADMS,ADMS_flow_i15p0_d50p0_t0p4_s2_m1p6.stl,15.0,50.0,0.4,2,1.6,15.017,8612310,1,1,-3168,0.45733,14.0833,6.4407,0.885,-27.04388,38.09121,-2.14623,12.62805,828.2945,65.5092,0.4022,0.0188,4000,0.13407,1.005,0.35709,0.32311,0.3198,1.1166,0.03729,0.32743,0.33581,0.33676,0.00419,0.966,46.9,OK,ADMS_flow_i15p0_d50p0_t0p4_s2_m1p6,0.19473,0.20189,0.2539,0.0345,0.9225,0.24229,0.07718,0.075055,0.4582950799398958,0.46579,32.2399,2.186605,0.999998,-0.333229,1.960659,10.171106,-0.65193,0.918241,19.967171,0.863507,ADMS,flow,quadratic,ADMS|flow|22
ADMS,ADMS_flow_i15p0_d55p0_t0p36_s2_m1p6.stl,15.0,55.0,0.36,2,1.6,15.021,9570146,1,1,-4348,0.45976,15.5211,7.136,0.887,-32.81388,44.48586,-2.32803,13.70807,898.4097,68.4259,0.364,0.0152,4000,0.12132,1.011,0.36882,0.32005,0.31113,1.18544,0.0577,0.33806,0.32832,0.33362,0.00398,0.969,40.5,OK,ADMS_flow_i15p0_d55p0_t0p36_s2_m1p6,0.19958,0.20698,0.2535,0.0394,0.9385,0.245285,0.08022,0.078455,0.46133789,0.4204,35.7303,2.175048,1.000003,-0.326238,1.920979,9.588857,-0.644392,0.873604,17.642782,0.865737,ADMS,flow,quadratic,ADMS|flow|23
ADMS,ADMS_raw_i15p0_d42p0_t0p5_s2_m1p6.stl,15.0,42.0,0.5,2,1.6,15.013,7138220,1,1,-2086,0.46025,11.4561,5.2727,0.864,-21.38133,31.82782,-1.94732,10.97319,446.9009,52.5456,0.502,0.0166,4000,0.16734,1.004,0.35134,0.32727,0.32139,1.09321,0.02996,0.32697,0.33763,0.33541,0.00459,0.957,39.0,OK,ADMS_raw_i15p0_d42p0_t0p5_s2_m1p6,0.21033,0.21787,0.255,0.032,1.082,0.25603000000000004,0.09115000000000001,0.08741,0.4610593674776092,0.56897,26.3863,2.172732,1.000006,-0.369323,2.081145,9.965653,-0.769084,1.144842,16.074965,0.882329,ADMS,raw,quadratic,ADMS|raw|23
ADMS,ADMS_raw_i15p0_d39p2_t0p55_s2_m1p6.stl,15.0,39.2,0.55,2,1.6,15.012,6538404,1,1,-1570,0.46099,10.4961,4.8386,0.858,-17.58766,26.97219,-1.83022,10.07626,444.8706,51.6324,0.55,0.0229,4000,0.18333,1.0,0.35561,0.32589,0.3185,1.11651,0.03711,0.33499,0.33384,0.33117,0.0016,0.952,34.5,OK,ADMS_raw_i15p0_d39p2_t0p55_s2_m1p6,0.21481,0.222,0.2579,0.0357,1.0976,0.261235,0.09346,0.08837,0.46160332,0.62001,24.2125,2.169244,1.000001,-0.378254,2.082476,10.670944,-0.751223,1.152066,19.001802,0.88706,ADMS,raw,quadratic,ADMS|raw|23
ADMS,ADMS_flow_i15p0_d24p37_t0p84_s2_m1p6.stl,15.0,24.37,0.84,2,1.6,15.014,4281870,1,1,-378,0.4627,7.0924,3.2817,0.858,-6.82319,11.148,-1.11864,6.50624,279.0393,39.5428,0.8429,0.0486,4000,0.28095,1.003,0.36115,0.33389,0.30496,1.18425,0.05619,0.32765,0.33723,0.33512,0.00411,0.93,39.8,OK,ADMS_flow_i15p0_d24p37_t0p84_s2_m1p6,0.18385,0.19133,0.2492,0.0591,0.8466,0.22954,0.066835,0.06876,0.46363407,0.91417,16.4236,2.161228,1.000014,-0.340877,1.98261,12.049657,-0.633581,1.03517,25.910747,0.921981,ADMS,flow,quadratic,ADMS|flow|23
ADMS,ADMS_raw_i15p0_d31p02_t0p68_s2_m1p6.stl,15.0,31.02,0.68,2,1.6,15.012,5415220,1,1,-874,0.46274,8.699,4.0254,0.849,-11.87862,18.21555,-1.44235,8.11641,298.7094,43.464,0.6778,0.0381,4000,0.22595,0.997,0.34847,0.33052,0.32101,1.08554,0.02746,0.3299,0.33649,0.33361,0.0027,0.941,34.8,OK,ADMS_raw_i15p0_d31p02_t0p68_s2_m1p6,0.21111,0.21833,0.257,0.0408,1.1315,0.24859,0.09263,0.08694,0.46346301,0.74527,20.143,2.161041,1.000006,-0.358314,2.016311,10.797503,-0.733083,1.124164,18.434703,0.909534,ADMS,raw,quadratic,ADMS|raw|23
ADMS,ADMS_DF_i15p0_d30p94_t0p63_s2_m1p6.stl,15.0,30.94,0.63,2,1.6,15.027,5737404,1,1,-1090,0.46345,9.3976,4.3553,0.838,-14.10472,21.70049,-1.5434,8.8922,321.5964,45.265,0.634,0.0367,4000,0.21135,1.006,0.35779,0.32627,0.31594,1.13247,0.04185,0.33908,0.33066,0.33025,0.00407,0.927,33.8,OK,ADMS_DF_i15p0_d30p94_t0p63_s2_m1p6,0.21293,0.22053,0.2552,0.0274,0.9712,0.258065,0.08486,0.081555,0.46509156,0.68881,21.8159,2.15773,0.999996,-0.354371,2.041688,10.393042,-0.743575,1.14401,16.953973,0.920496,ADMS,df,quadratic,ADMS|df|23
ADMS,ADMS_raw_i15p0_d46p2_t0p46_s2_m1p6.stl,15.0,46.2,0.46,2,1.6,15.013,7871112,1,1,-2796,0.46757,12.3935,5.7949,0.863,-25.98335,38.07222,-2.19138,12.03663,530.4966,57.0925,0.4602,0.0143,4000,0.15339,1.0,0.34828,0.32993,0.32179,1.08231,0.02649,0.33202,0.3341,0.33389,0.00093,0.959,36.8,OK,ADMS_raw_i15p0_d46p2_t0p46_s2_m1p6,0.22153,0.22898,0.2577,0.031,1.0972,0.26477,0.09784000000000001,0.09261,0.46802226,0.5177,28.9994,2.138717,1.000012,-0.378161,2.077133,9.852319,-0.773774,1.133775,15.797974,0.888869,ADMS,raw,quadratic,ADMS|raw|23
ADMS,ADMS_DF_i15p0_d24p87_t0p8_s2_m1p6.stl,15.0,24.87,0.8,2,1.6,15.011,4727388,1,1,-558,0.46916,7.6435,3.586,0.816,-9.04973,13.61928,-1.2327,6.84596,233.7926,38.7397,0.8017,0.0732,4000,0.26723,1.002,0.34793,0.33019,0.32188,1.08092,0.02605,0.33022,0.33814,0.33164,0.00345,0.909,46.6,OK,ADMS_DF_i15p0_d24p87_t0p8_s2_m1p6,0.2118,0.21989,0.2522,0.026,1.0386,0.25366,0.090755,0.08949,0.4701,0.83658,17.9433,2.131469,0.999993,-0.343751,1.909067,10.802966,-0.703735,1.059077,18.180435,0.958293,ADMS,df,quadratic,ADMS|df|23
ADMS,ADMS_DF_i15p0_d39p6_t0p52_s2_m1p6.stl,15.0,39.6,0.52,2,1.6,15.027,7065594,1,1,-2188,0.47116,11.3356,5.3409,0.833,-22.09277,33.06555,-1.99325,11.13958,463.338,53.8412,0.5182,0.0257,4000,0.17273,0.996,0.35642,0.32635,0.31723,1.12352,0.03918,0.32651,0.33914,0.33435,0.00521,0.93,34.7,OK,ADMS_DF_i15p0_d39p6_t0p52_s2_m1p6,0.23003,0.23767,0.2582,0.0251,0.9815,0.28763500000000003,0.09616,0.09025,0.47307625,0.56171,26.7522,2.122421,1.000004,-0.373206,2.085719,10.080958,-0.774505,1.159177,16.243218,0.92253,ADMS,df,quadratic,ADMS|df|23
