dataset,file,inner,density_param,t_input,seed,size_multi,bbox_mm,n_tris,watertight,winding_ok,euler,VF,SAV_x_cell,rel_surface,interior_vert_frac,curv_gauss_mean_xL2,curv_gauss_iqr_xL2,curv_mean_mean_xL,curv_mean_iqr_xL,curv_gauss_p99_xL2,curv_mean_p99_xL,thickness_med_mm,thickness_std_mm,thickness_hits,thickness_over_cell,thickness_ratio,fabric_l1,fabric_l2,fabric_l3,fabric_DA,fabric_aniso,normal_x,normal_y,normal_z,normal_spread,fabric_kept_frac,extract_s,status,Run,E_over_Es,G_over_Gs,nu_iso,TAI,Zener_Z,C11_n,C12_n,C44_n,Rho_rel,L_star_mm,bbox_over_Lstar,SAV_x_cell_star,rel_surface_star,curv_mean_mean_xL_star,curv_mean_iqr_xL_star,curv_mean_p99_xL_star,curv_gauss_mean_xL2_star,curv_gauss_iqr_xL2_star,curv_gauss_p99_xL2_star,thickness_over_cell_star,family,topology,element_order,group_key
TPMS,C(I2-Y) Generator_0.14.stl,,,,,,10.012,357736,1,1,-72,0.13929,86.7891,12.0885,0.862,-55.64307,51.18396,-0.81511,13.81987,345.4402,39.4393,0.2251,0.054,4000,0.02251,,0.33335,0.33334,0.33331,1.00013,4e-05,0.33332,0.33334,0.33334,1e-05,0.95,48.2,OK,C(I2-Y) Generator_0.14,0.042029,0.042377,0.289318,0.036652,0.875609,0.056764,0.021473,0.015451,0.13929,0.82721,12.1033,7.179266,0.999971,-0.067427,1.143191,3.262452,-0.380751,0.350238,2.363756,0.27212,TPMS,C(I2-Y) Generator,quadratic,TPMS|C(I2-Y) Generator|6
TPMS,C(I2-Y) Generator_0.16.stl,,,,,,10.017,361148,1,1,-72,0.15946,76.1987,12.1507,0.857,-55.75369,52.50858,-0.94332,13.88093,366.6898,40.1925,0.2574,0.0624,4000,0.02574,,0.33335,0.33334,0.33331,1.00013,4e-05,0.33333,0.33333,0.33334,1e-05,0.944,48.1,OK,C(I2-Y) Generator_0.16,0.056966,0.057434,0.289397,0.016807,0.938454,0.075691,0.029791,0.021537,0.15946,0.823,12.1713,6.271165,1.000005,-0.077635,1.142403,3.307849,-0.377637,0.355657,2.483706,0.312758,TPMS,C(I2-Y) Generator,quadratic,TPMS|C(I2-Y) Generator|7
TPMS,C(I2-Y) Generator_0.18.stl,,,,,,10.015,361752,1,1,-72,0.17912,68.2492,12.225,0.853,-55.88598,51.09703,-1.06616,13.90453,388.9631,40.6947,0.2872,0.0686,4000,0.02872,,0.33335,0.33333,0.33332,1.0001,3e-05,0.33334,0.33334,0.33332,1e-05,0.939,48.5,OK,C(I2-Y) Generator_0.18,0.067205,0.067843,0.287764,0.01133,0.958263,0.088473,0.034929,0.025655,0.17912,0.81801,12.2431,5.582849,1.000017,-0.087213,1.137404,3.328865,-0.373955,0.34191,2.602706,0.351096,TPMS,C(I2-Y) Generator,quadratic,TPMS|C(I2-Y) Generator|8
TPMS,C(I2-Y) Generator_0.20.stl,,,,,,10.014,362252,1,1,-72,0.1996,61.5922,12.2937,0.845,-56.04879,50.56392,-1.19622,13.84333,418.6011,40.1557,0.3194,0.0768,4000,0.03194,,0.33336,0.33333,0.33331,1.00013,4e-05,0.33333,0.33332,0.33335,1e-05,0.93,49.2,OK,C(I2-Y) Generator_0.20,0.077008,0.077889,0.285297,0.008454,0.969357,0.100459,0.039421,0.029584,0.1996,0.81342,12.311,5.01002,0.999992,-0.097303,1.126041,3.266337,-0.370846,0.334556,2.769669,0.392664,TPMS,C(I2-Y) Generator,quadratic,TPMS|C(I2-Y) Generator|9
TPMS,C(I2-Y) Generator_0.22.stl,,,,,,10.012,361426,1,1,-72,0.21936,56.3672,12.3648,0.837,-56.29712,50.15312,-1.317,13.79162,405.1519,39.7744,0.349,0.0832,4000,0.0349,,0.33336,0.33333,0.33331,1.00013,4e-05,0.33332,0.33333,0.33335,1e-05,0.922,48.9,OK,C(I2-Y) Generator_0.22,0.086829,0.087977,0.28303,0.005643,0.979502,0.112365,0.043852,0.033554,0.21936,0.80875,12.3796,4.558716,1.000007,-0.106513,1.115402,3.216768,-0.368229,0.328043,2.650026,0.431528,TPMS,C(I2-Y) Generator,quadratic,TPMS|C(I2-Y) Generator|10
TPMS,C(I2-Y) Generator_0.24.stl,,,,,,10.017,363456,1,1,-72,0.23874,51.9595,12.405,0.831,-56.4211,49.88664,-1.44931,13.6581,410.6738,42.0797,0.3811,0.0901,4000,0.03811,,0.33335,0.33334,0.33331,1.00013,4e-05,0.33333,0.33333,0.33334,1e-05,0.917,48.8,OK,C(I2-Y) Generator_0.24,0.097088,0.098531,0.280967,0.002804,0.989932,0.124701,0.048452,0.03774,0.23874,0.80614,12.4259,4.188657,1.000015,-0.116835,1.101032,3.392208,-0.366658,0.324193,2.668804,0.472747,TPMS,C(I2-Y) Generator,quadratic,TPMS|C(I2-Y) Generator|11
TPMS,C(I2-Y) Generator_0.26.stl,,,,,,10.013,364032,1,1,-72,0.25873,48.2201,12.4761,0.823,-56.56915,48.90148,-1.58795,13.80569,460.9549,41.4567,0.4079,0.0983,4000,0.04079,,0.33337,0.33332,0.3333,1.00021,7e-05,0.33332,0.33334,0.33334,1e-05,0.909,48.2,OK,C(I2-Y) Generator_0.26,0.107823,0.109591,0.279027,0.000294,1.000766,0.137498,0.053237,0.042162,0.25873,0.80154,12.4922,3.865033,1.000009,-0.127281,1.106581,3.32292,-0.363438,0.314175,2.961479,0.508895,TPMS,C(I2-Y) Generator,quadratic,TPMS|C(I2-Y) Generator|12
TPMS,C(I2-Y) Generator_0.28.stl,,,,,,10.016,365056,1,1,-72,0.27905,44.8525,12.5159,0.817,-56.74127,48.69831,-1.73904,13.54271,473.0047,41.7265,0.4405,0.1042,4000,0.04405,,0.33336,0.33332,0.33331,1.00016,5e-05,0.33332,0.33334,0.33333,1e-05,0.902,49.4,OK,C(I2-Y) Generator_0.28,0.119513,0.12164,0.277273,0.003303,1.012237,0.15135,0.058464,0.047011,0.27905,0.79897,12.5361,3.583587,0.999985,-0.138944,1.082024,3.333829,-0.362211,0.310868,3.019452,0.551334,TPMS,C(I2-Y) Generator,quadratic,TPMS|C(I2-Y) Generator|13
TPMS,C(I2-Y) Generator_0.30.stl,,,,,,10.015,365140,1,1,-72,0.29886,42.0637,12.571,0.811,-56.93103,49.10209,-1.89435,13.74541,519.6893,43.8295,0.4722,0.1152,4000,0.04722,,0.33339,0.33331,0.3333,1.00026,9e-05,0.33332,0.33336,0.33333,2e-05,0.896,49.5,OK,C(I2-Y) Generator_0.30,0.131349,0.133856,0.275651,0.00634,1.022965,0.165296,0.063722,0.051953,0.29886,0.79547,12.59,3.346048,0.999987,-0.15069,1.093408,3.486513,-0.360245,0.310706,3.288465,0.59361,TPMS,C(I2-Y) Generator,quadratic,TPMS|C(I2-Y) Generator|14
TPMS,C(Y) Generator_0.10.stl,,,,,,10.016,297452,1,1,-48,0.09907,102.6685,10.1717,0.815,-34.24174,26.69673,-0.38603,14.15145,221.3901,27.1886,0.2135,0.0414,4000,0.02135,,0.3334,0.33333,0.33327,1.0004,0.00013,0.33329,0.33339,0.33332,4e-05,0.902,41.2,OK,C(Y) Generator_0.10,0.028903,0.028662,0.310939,0.01193,0.951525,0.040623,0.017908,0.010807,0.09907,0.98315,10.1877,10.093873,1.000033,-0.037953,1.391302,2.673052,-0.330976,0.258047,2.139929,0.217159,TPMS,C(Y) Generator,quadratic,TPMS|C(Y) Generator|4
TPMS,C(Y) Generator_0.12.stl,,,,,,10.016,299608,1,1,-48,0.11866,86.7735,10.2966,0.807,-34.28618,27.27771,-0.47163,14.03896,221.8359,27.1519,0.2547,0.0497,4000,0.02547,,0.33349,0.33331,0.33321,1.00084,0.00028,0.33322,0.3333,0.33349,0.00011,0.895,40.9,OK,C(Y) Generator_0.12,0.035779,0.035561,0.307974,0.009839,0.960501,0.049737,0.021713,0.013459,0.11866,0.9712,10.313,8.42744,1.000005,-0.045805,1.363463,2.636992,-0.323397,0.257291,2.09242,0.262253,TPMS,C(Y) Generator,quadratic,TPMS|C(Y) Generator|5
TPMS,C(Y) Generator_0.14.stl,,,,,,10.035,303640,1,1,-48,0.13852,74.9842,10.387,0.803,-34.27303,26.96276,-0.55465,14.01086,218.086,26.8601,0.2954,0.0598,4000,0.02954,,0.33346,0.33329,0.33325,1.00065,0.00022,0.33325,0.33329,0.33346,9e-05,0.887,41.5,OK,C(Y) Generator_0.14,0.04336,0.043198,0.304889,0.007506,0.970101,0.059598,0.025758,0.016414,0.13852,0.96276,10.4232,7.219174,1.000018,-0.053399,1.348909,2.585981,-0.317679,0.249919,2.021451,0.306826,TPMS,C(Y) Generator,quadratic,TPMS|C(Y) Generator|6
TPMS,C(Y) Generator_0.18.stl,,,,,,10.049,306892,1,1,-48,0.17747,59.6406,10.5842,0.801,-34.428,27.46371,-0.71239,14.02954,224.2251,27.0877,0.3769,0.0812,4000,0.03769,,0.33342,0.33332,0.33326,1.00049,0.00016,0.33326,0.33341,0.33333,6e-05,0.881,42.4,OK,C(Y) Generator_0.18,0.05887,0.058935,0.298564,0.002022,0.992266,0.079078,0.033528,0.022598,0.17747,0.94479,10.6362,5.634755,0.999979,-0.067306,1.32549,2.559206,-0.307311,0.245146,2.001476,0.398927,TPMS,C(Y) Generator,quadratic,TPMS|C(Y) Generator|8
TPMS,C(Y) Generator_0.20.stl,,,,,,10.064,309068,1,1,-48,0.19592,54.3296,10.644,0.801,-34.44342,27.576,-0.80123,13.98682,220.7491,27.0905,0.4123,0.0913,4000,0.04123,,0.33338,0.33335,0.33327,1.00035,0.00012,0.33338,0.33335,0.33327,5e-05,0.877,44.9,OK,C(Y) Generator_0.20,0.067419,0.067628,0.295981,0.000147,0.999484,0.089767,0.037729,0.026006,0.19592,0.93947,10.7124,5.104124,0.999976,-0.075273,1.314025,2.545082,-0.304001,0.243389,1.948356,0.438863,TPMS,C(Y) Generator,quadratic,TPMS|C(Y) Generator|9
TPMS,C(Y) Generator_0.22.stl,,,,,,10.015,312098,1,1,-48,0.21855,49.8738,10.9,0.781,-34.82508,28.22902,-0.88644,13.98328,224.6047,28.1219,0.4583,0.1011,4000,0.04583,,0.33338,0.33334,0.33328,1.00029,0.0001,0.33333,0.33329,0.33337,3e-05,0.867,42.5,OK,C(Y) Generator_0.22,0.076429,0.076832,0.293187,0.002223,1.008443,0.100803,0.041995,0.029652,0.21855,0.91744,10.9162,4.575612,1.000007,-0.081325,1.282879,2.58001,-0.29312,0.237602,1.890481,0.499543,TPMS,C(Y) Generator,quadratic,TPMS|C(Y) Generator|10
TPMS,C(Y) Generator_0.24.stl,,,,,,10.014,313608,1,1,-48,0.23846,46.1237,10.9989,0.776,-34.92585,28.77984,-0.97777,14.03505,218.3367,27.3484,0.4921,0.113,4000,0.04921,,0.33337,0.33334,0.33329,1.00022,7e-05,0.33335,0.3333,0.33335,3e-05,0.863,42.5,OK,C(Y) Generator_0.24,0.085863,0.086501,0.290404,0.004732,1.018078,0.112169,0.046337,0.033511,0.23846,0.9092,11.0141,4.193575,1.000022,-0.088899,1.276069,2.486522,-0.288714,0.237908,1.804876,0.541244,TPMS,C(Y) Generator,quadratic,TPMS|C(Y) Generator|11
TPMS,C(Y) Generator_0.26.stl,,,,,,10.015,314526,1,1,-60,0.25828,42.9489,11.093,0.772,-35.07645,28.73667,-1.06934,14.04772,224.3214,27.0461,0.5283,0.1211,4000,0.05283,,0.33345,0.33333,0.33322,1.00067,0.00022,0.33326,0.33332,0.33342,7e-05,0.857,40.9,OK,C(Y) Generator_0.26,0.095836,0.096747,0.287761,0.006925,1.026555,0.124119,0.050848,0.037608,0.25828,0.90148,11.1095,3.871767,1.000014,-0.096399,1.266377,2.438158,-0.285056,0.233534,1.822993,0.586035,TPMS,C(Y) Generator,quadratic,TPMS|C(Y) Generator|12
TPMS,C(Y) Generator_0.28.stl,,,,,,10.014,316132,1,1,-60,0.27912,40.0312,11.1737,0.766,-35.23696,29.32427,-1.17145,14.17522,220.5579,28.7872,0.5712,0.1329,4000,0.05712,,0.3334,0.33336,0.33324,1.00047,0.00016,0.33337,0.33325,0.33339,6e-05,0.852,41.9,OK,C(Y) Generator_0.28,0.1067,0.107954,0.284898,0.009164,1.035309,0.136912,0.055572,0.042106,0.27912,0.89497,11.1892,3.582688,1.000017,-0.104842,1.268645,2.57638,-0.28224,0.234881,1.766621,0.638231,TPMS,C(Y) Generator,quadratic,TPMS|C(Y) Generator|13
TPMS,C(Y) Generator_0.30.stl,,,,,,10.015,316788,1,1,-60,0.29905,37.6176,11.2497,0.759,-35.40435,29.50978,-1.26881,14.04489,224.9836,28.1997,0.6156,0.1453,4000,0.06156,,0.33338,0.33333,0.33329,1.00027,9e-05,0.33338,0.33329,0.33333,3e-05,0.845,42.2,OK,C(Y) Generator_0.30,0.115242,0.116785,0.282829,0.009788,1.036249,0.147058,0.059129,0.045558,0.29905,0.88892,11.2665,3.343922,1.000014,-0.112788,1.248485,2.506742,-0.279761,0.233183,1.777793,0.692522,TPMS,C(Y) Generator,quadratic,TPMS|C(Y) Generator|14
TPMS,D Generator_0.10.stl,,,,,,10.017,246240,1,1,-18,0.09977,80.7761,8.0592,0.88,-27.29855,23.67067,-0.3534,13.3338,50.0832,19.812,0.2677,0.0154,4000,0.02677,,0.33339,0.33338,0.33322,1.00051,0.00017,0.33333,0.33333,0.33335,1e-05,0.965,34.9,OK,D Generator_0.10,0.03339,0.032733,0.326102,0.110126,0.629411,0.054139,0.020934,0.01045,0.09977,1.24084,8.0728,10.023053,1.000021,-0.043851,1.654516,2.45836,-0.420314,0.364456,0.771128,0.21574,TPMS,D Generator,quadratic,TPMS|D Generator|4
TPMS,D Generator_0.12.stl,,,,,,10.015,247968,1,1,-18,0.1196,68.0748,8.1416,0.871,-27.42904,23.8587,-0.42104,13.02137,52.2265,20.2727,0.3229,0.02,4000,0.03229,,0.33335,0.33334,0.33331,1.00014,5e-05,0.33335,0.33335,0.33331,2e-05,0.957,36.3,OK,D Generator_0.12,0.041099,0.040408,0.322232,0.103855,0.650444,0.065331,0.025132,0.013073,0.1196,1.22824,8.1539,8.361204,0.999982,-0.051714,1.599334,2.48997,-0.413786,0.359925,0.787872,0.262897,TPMS,D Generator,quadratic,TPMS|D Generator|5
TPMS,D Generator_0.14.stl,,,,,,10.016,250272,1,1,-18,0.13956,58.9056,8.2206,0.862,-27.47122,23.74396,-0.50609,13.30623,49.6808,20.0784,0.3752,0.0261,4000,0.03752,,0.33342,0.33341,0.33317,1.00076,0.00025,0.33333,0.33333,0.33334,0.0,0.952,34.3,OK,D Generator_0.14,0.049097,0.048403,0.318645,0.097792,0.670573,0.076645,0.029357,0.015855,0.13956,1.21642,8.234,7.165377,0.999968,-0.061562,1.618592,2.442371,-0.406483,0.351332,0.735112,0.308447,TPMS,D Generator,quadratic,TPMS|D Generator|6
TPMS,D Generator_0.16.stl,,,,,,10.017,250272,1,1,-18,0.15931,51.9508,8.2764,0.86,-27.53765,23.90162,-0.57311,12.90233,50.2861,20.0001,0.4293,0.0355,4000,0.04293,,0.33342,0.33341,0.33317,1.00073,0.00024,0.33333,0.33333,0.33335,1e-05,0.943,33.6,OK,D Generator_0.16,0.057485,0.056823,0.315145,0.09197,0.689952,0.088216,0.033634,0.01883,0.15931,1.20827,8.2904,6.27707,1.000014,-0.069247,1.558952,2.416556,-0.402028,0.348945,0.734137,0.355301,TPMS,D Generator,quadratic,TPMS|D Generator|7
TPMS,D Generator_0.18.stl,,,,,,10.016,252768,1,1,-18,0.17859,46.7657,8.3517,0.843,-27.68976,23.73539,-0.6518,13.029,55.3807,20.1505,0.4812,0.0405,4000,0.04812,,0.33335,0.33334,0.33332,1.00009,3e-05,0.33334,0.33334,0.33332,1e-05,0.934,33.3,OK,D Generator_0.18,0.065901,0.065307,0.31184,0.086342,0.708757,0.099529,0.037795,0.021877,0.17859,1.19733,8.3653,5.599418,0.999978,-0.078042,1.560007,2.412688,-0.396963,0.340273,0.793943,0.401893,TPMS,D Generator,quadratic,TPMS|D Generator|8
TPMS,D Generator_0.20.stl,,,,,,10.015,252768,1,1,-18,0.1994,42.2651,8.4275,0.844,-27.68586,25.28877,-0.73221,12.9957,53.2234,20.2844,0.5367,0.0545,4000,0.05367,,0.33342,0.33342,0.33316,1.0008,0.00027,0.33333,0.33333,0.33334,0.0,0.929,33.0,OK,D Generator_0.20,0.075476,0.075,0.308262,0.080048,0.729474,0.112067,0.042377,0.025419,0.1994,1.18657,8.4403,5.015045,0.999981,-0.086882,1.542029,2.406884,-0.389802,0.356052,0.749357,0.452313,TPMS,D Generator,quadratic,TPMS|D Generator|9
TPMS,D Generator_0.22.stl,,,,,,10.013,253344,1,1,-18,0.21944,38.705,8.4934,0.836,-27.89387,24.36646,-0.80434,13.42147,52.2067,20.6909,0.5905,0.0647,4000,0.05905,,0.33338,0.33332,0.3333,1.00022,7e-05,0.33334,0.33334,0.33332,1e-05,0.921,33.8,OK,D Generator_0.22,0.085109,0.084793,0.304838,0.073903,0.749996,0.124349,0.04685,0.029062,0.21944,1.17738,8.5045,4.557054,0.999997,-0.094701,1.580219,2.436108,-0.386672,0.337774,0.723703,0.501537,TPMS,D Generator,quadratic,TPMS|D Generator|10
TPMS,D Generator_0.24.stl,,,,,,10.017,254496,1,1,-18,0.23933,35.7674,8.5601,0.827,-27.92119,25.30907,-0.89208,13.32175,55.9691,20.4377,0.6459,0.0748,4000,0.06459,,0.33343,0.33342,0.33315,1.00083,0.00028,0.33333,0.33333,0.33334,0.0,0.915,33.5,OK,D Generator_0.24,0.095275,0.095168,0.301457,0.067644,0.77076,0.137018,0.051453,0.032975,0.23933,1.1682,8.5747,4.178331,0.999987,-0.104212,1.556241,2.387523,-0.381035,0.345388,0.763799,0.552904,TPMS,D Generator,quadratic,TPMS|D Generator|11
TPMS,D Generator_0.26.stl,,,,,,10.016,253728,1,1,-18,0.25837,33.2971,8.6029,0.823,-28.11364,25.70662,-0.96222,13.15784,56.2988,20.7624,0.6984,0.0867,4000,0.06984,,0.33342,0.33341,0.33318,1.00072,0.00024,0.33332,0.33332,0.33335,1e-05,0.906,33.6,OK,D Generator_0.26,0.10534,0.10548,0.298278,0.062035,0.78961,0.149357,0.055873,0.036908,0.25837,1.16239,8.6167,3.870418,0.999992,-0.111847,1.529453,2.413399,-0.379857,0.347335,0.76068,0.600832,TPMS,D Generator,quadratic,TPMS|D Generator|12
TPMS,D Generator_0.28.stl,,,,,,10.017,257760,1,1,-18,0.27847,31.1138,8.6643,0.808,-28.28667,25.49625,-1.05348,13.15439,53.822,20.8524,0.7529,0.1053,4000,0.07529,,0.33335,0.33333,0.33331,1.00011,4e-05,0.33334,0.33334,0.33332,1e-05,0.898,36.0,OK,D Generator_0.28,0.115984,0.116427,0.295054,0.055893,0.80991,0.162086,0.06045,0.041158,0.27847,1.15417,8.679,3.591051,1.000005,-0.121589,1.518236,2.406715,-0.376807,0.339636,0.716963,0.652332,TPMS,D Generator,quadratic,TPMS|D Generator|13
TPMS,D Generator_0.30.stl,,,,,,10.017,255456,1,1,-18,0.29849,29.2201,8.7218,0.807,-28.36864,25.11879,-1.1335,13.34548,57.588,20.8413,0.8093,0.1174,4000,0.08093,,0.33344,0.33343,0.33314,1.0009,0.0003,0.33333,0.33333,0.33334,1e-05,0.892,36.4,OK,D Generator_0.30,0.128127,0.128921,0.291988,0.049898,0.829997,0.176588,0.065694,0.046021,0.29849,1.14654,8.7367,3.350196,0.999988,-0.12996,1.53011,2.389535,-0.37292,0.330199,0.757023,0.705864,TPMS,D Generator,quadratic,TPMS|D Generator|14
TPMS,D' Generator_0.10.stl,,,,,,10.015,361120,1,1,-116,0.09857,131.7563,12.9867,0.851,-61.3376,85.69963,-0.7413,15.59011,779.6348,55.8253,0.1502,0.0437,4000,0.01502,,0.33336,0.33336,0.33328,1.00024,8e-05,0.33333,0.33334,0.33333,0.0,0.95,52.8,OK,D' Generator_0.10,0.022401,0.022028,0.32206,0.118917,0.613861,0.036101,0.013423,0.006961,0.09857,0.76999,13.0067,10.145075,0.99996,-0.057079,1.200419,4.29848,-0.363659,0.508097,4.622308,0.195068,TPMS,D' Generator,quadratic,TPMS|D' Generator|4
TPMS,D' Generator_0.12.stl,,,,,,10.015,362670,1,1,-116,0.11896,110.228,13.1125,0.845,-61.57177,79.13872,-0.91294,14.89387,724.4713,55.0094,0.1791,0.0477,4000,0.01791,,0.33345,0.33341,0.33314,1.00093,0.00031,0.33334,0.33333,0.33333,0.0,0.948,50.0,OK,D' Generator_0.12,0.028201,0.027793,0.319076,0.110742,0.63739,0.044631,0.01665,0.008918,0.11896,0.76262,13.1324,8.406187,0.999983,-0.069622,1.135834,4.195116,-0.358093,0.46026,4.213426,0.234849,TPMS,D' Generator,quadratic,TPMS|D' Generator|5
TPMS,D' Generator_0.14.stl,,,,,,10.02,364740,1,1,-116,0.13877,95.1794,13.2084,0.84,-61.55103,78.36538,-1.09326,14.7845,577.6958,52.6615,0.2083,0.0539,4000,0.02083,,0.33343,0.33336,0.33321,1.00067,0.00022,0.33331,0.33332,0.33337,2e-05,0.941,50.6,OK,D' Generator_0.14,0.028769,0.028302,0.32141,0.099373,0.670544,0.045336,0.017665,0.009277,0.13877,0.75711,13.2345,7.206168,1.000027,-0.082772,1.119356,3.987077,-0.352824,0.449208,3.31148,0.275124,TPMS,D' Generator,quadratic,TPMS|D' Generator|6
TPMS,D' Generator_0.16.stl,,,,,,10.039,368272,1,1,-164,0.15811,84.0052,13.2822,0.837,-62.0404,78.45779,-1.31477,14.57609,502.1584,49.7219,0.2366,0.0603,4000,0.02366,,0.33345,0.3333,0.33325,1.00061,0.0002,0.33335,0.33336,0.3333,3e-05,0.935,49.4,OK,D' Generator_0.16,0.040852,0.040452,0.312862,0.096952,0.679678,0.062519,0.023314,0.013323,0.15811,0.7529,13.3338,6.324711,1.00001,-0.098988,1.097427,3.743538,-0.351677,0.444739,2.84649,0.314254,TPMS,D' Generator,quadratic,TPMS|D' Generator|7
TPMS,D' Generator_0.18.stl,,,,,,10.038,369960,1,1,-100,0.17832,74.8692,13.3506,0.83,-35.47003,71.8693,-1.71465,14.28864,421.0975,46.3544,0.2658,0.0552,4000,0.02658,,0.33337,0.33333,0.3333,1.00023,8e-05,0.33331,0.33332,0.33337,3e-05,0.928,49.4,OK,D' Generator_0.18,0.048003,0.047635,0.310029,0.089702,0.701812,0.072309,0.027015,0.015894,0.17832,0.74903,13.4013,5.607896,0.999994,-0.128432,1.070256,3.472064,-0.199001,0.403215,2.362524,0.354861,TPMS,D' Generator,quadratic,TPMS|D' Generator|8
TPMS,D' Generator_0.20.stl,,,,,,10.047,371412,1,1,-100,0.1976,67.5516,13.3481,0.828,-36.42672,75.83896,-1.77818,14.43784,412.7311,42.6473,0.2952,0.0564,4000,0.02952,,0.33346,0.33329,0.33325,1.00061,0.0002,0.33337,0.33332,0.33331,2e-05,0.922,52.5,OK,D' Generator_0.20,0.055468,0.055168,0.307055,0.083528,0.721416,0.082313,0.030711,0.018614,0.1976,0.74916,13.411,5.060729,0.999993,-0.133215,1.081632,3.194986,-0.204444,0.425645,2.316445,0.394039,TPMS,D' Generator,quadratic,TPMS|D' Generator|9
TPMS,D' Generator_0.22.stl,,,,,,10.016,370816,1,1,-100,0.21951,61.4992,13.4997,0.817,-36.53979,78.76426,-1.8762,14.56684,407.9612,42.2003,0.3247,0.061,4000,0.03247,,0.33351,0.33327,0.33321,1.00091,0.0003,0.33332,0.33332,0.33337,2e-05,0.914,50.3,OK,D' Generator_0.22,0.063583,0.063395,0.303845,0.078204,0.738856,0.092998,0.034538,0.021596,0.21951,0.74076,13.5212,4.555601,1.000001,-0.138981,1.07905,3.12602,-0.200502,0.432197,2.238573,0.438335,TPMS,D' Generator,quadratic,TPMS|D' Generator|10
TPMS,D' Generator_0.24.stl,,,,,,10.041,371232,1,1,-100,0.23714,56.6986,13.4454,0.815,-36.72269,79.73998,-1.97773,14.45351,393.127,43.1492,0.3551,0.0661,4000,0.03551,,0.33348,0.33327,0.33325,1.00068,0.00023,0.33334,0.33333,0.33333,1e-05,0.908,52.1,OK,D' Generator_0.24,0.071769,0.071727,0.300752,0.073378,0.755173,0.103554,0.03827,0.024651,0.23714,0.74374,13.5007,4.216918,0.999992,-0.147092,1.07497,3.209191,-0.203133,0.441085,2.174596,0.47745,TPMS,D' Generator,quadratic,TPMS|D' Generator|11
TPMS,D' Generator_0.26.stl,,,,,,10.017,370928,1,1,-100,0.2594,52.339,13.5766,0.808,-37.21867,76.31522,-2.08143,14.7653,379.774,43.3865,0.3865,0.0731,4000,0.03865,,0.33346,0.33328,0.33326,1.00059,0.0002,0.33334,0.33334,0.33332,1e-05,0.9,50.4,OK,D' Generator_0.26,0.081078,0.081243,0.297349,0.068365,0.772075,0.115343,0.04236,0.028174,0.2594,0.73655,13.5999,3.85505,0.99999,-0.153309,1.087544,3.19565,-0.201916,0.414019,2.060319,0.524741,TPMS,D' Generator,quadratic,TPMS|D' Generator|12
TPMS,D' Generator_0.28.stl,,,,,,10.05,368832,1,1,-100,0.27593,48.7064,13.4397,0.81,-37.31434,78.83548,-2.18866,15.13158,384.8776,43.4855,0.4159,0.0753,4000,0.04159,,0.33339,0.33333,0.33327,1.00037,0.00012,0.33335,0.33336,0.33329,3e-05,0.892,48.5,OK,D' Generator_0.28,0.087624,0.088008,0.294333,0.065236,0.783401,0.123256,0.04489,0.030696,0.27593,0.74407,13.5068,3.624108,1.000011,-0.162852,1.125899,3.235635,-0.206588,0.436467,2.130849,0.558951,TPMS,D' Generator,quadratic,TPMS|D' Generator|13
TPMS,D' Generator_0.30.stl,,,,,,10.017,372864,1,1,-100,0.29911,45.5627,13.6281,0.797,-37.42552,77.13529,-2.31934,14.60136,377.5368,42.6092,0.4467,0.0779,4000,0.04467,,0.33335,0.33334,0.33331,1.0001,3e-05,0.33333,0.33333,0.33333,0.0,0.885,50.2,OK,D' Generator_0.30,0.099446,0.100156,0.290782,0.060687,0.799163,0.137955,0.049839,0.03521,0.29911,0.73377,13.6514,3.343252,0.999988,-0.170186,1.071403,3.126533,-0.201506,0.41531,2.032724,0.608774,TPMS,D' Generator,quadratic,TPMS|D' Generator|14
TPMS,FRD Generator_0.10.stl,,,,,,10.018,282304,1,1,-68,0.09969,99.0054,9.8698,0.918,-54.75811,76.35082,-0.64035,16.97437,208.3205,36.674,0.2158,0.0288,4000,0.02158,,0.33334,0.33333,0.33333,1.00005,2e-05,0.33333,0.33333,0.33334,1e-05,0.953,40.7,OK,FRD Generator_0.10,0.028422,0.028706,0.287146,0.185286,0.524739,0.043862,0.011453,0.008503,0.09969,1.01319,9.8876,10.031096,0.999995,-0.064879,1.719821,3.715761,-0.562118,0.783777,2.138509,0.212991,TPMS,FRD Generator,quadratic,TPMS|FRD Generator|4
TPMS,FRD Generator_0.12.stl,,,,,,10.01,282816,1,1,-68,0.11925,83.2686,9.9301,0.91,-55.12915,78.43912,-0.75979,17.6019,223.9646,37.125,0.2559,0.0343,4000,0.02559,,0.33333,0.33333,0.33333,1.00001,0.0,0.33333,0.33333,0.33333,0.0,0.953,40.1,OK,FRD Generator_0.12,0.035329,0.035654,0.288139,0.179305,0.534232,0.054347,0.014515,0.01064,0.11925,1.00707,9.9397,8.385744,1.000032,-0.076516,1.772637,3.738753,-0.559116,0.795524,2.271434,0.254103,TPMS,FRD Generator,quadratic,TPMS|FRD Generator|5
