dataset,file,topology,inner,density_param,t_input,seed,size_multi,bbox_mm,n_tris,watertight,winding_ok,euler,VF,SAV_x_cell,rel_surface,interior_vert_frac,curv_gauss_mean_xL2,curv_gauss_iqr_xL2,curv_mean_mean_xL,curv_mean_iqr_xL,curv_gauss_p99_xL2,curv_mean_p99_xL,thickness_med_mm,thickness_std_mm,thickness_hits,thickness_over_cell,thickness_ratio,fabric_l1,fabric_l2,fabric_l3,fabric_DA,fabric_aniso,normal_x,normal_y,normal_z,normal_spread,fabric_kept_frac,extract_s,status,Run,C11_n,C12_n,C44_n,TAI,E_over_Es,G_over_Gs,nu_iso,Zener_Z,Rho_rel,group_key,element_order
TPMS,IWP Generator_0.16.stl,IWP Generator,,,,,,10.015,217104,1,1,-12,0.15937,47.9767,7.646,0.886,-21.05783,26.85017,-0.54228,10.00183,93.7947,20.1442,0.4447,0.0438,4000,0.04447,,0.33334,0.33334,0.33333,1.00002,1e-05,0.33334,0.33334,0.33333,0.0,0.936,30.9,OK,IWP Generator_0.16,0.062567,0.020066,0.019371,0.028207,0.050438,0.05227,0.254457,0.911569,0.15937,TPMS|IWP Generator|7,quadratic
TPMS,IWP Generator_0.18.stl,IWP Generator,,,,,,10.014,218752,1,1,-12,0.17898,43.0551,7.7059,0.875,-21.23941,26.55036,-0.61713,10.00457,95.391,20.1298,0.4963,0.0481,4000,0.04963,,0.33333,0.33333,0.33333,1.0,0.0,0.33333,0.33333,0.33333,0.0,0.928,34.1,OK,IWP Generator_0.18,0.073418,0.023293,0.022135,0.037636,0.058452,0.060478,0.256452,0.883199,0.17898,TPMS|IWP Generator|8,quadratic
TPMS,IWP Generator_0.20.stl,IWP Generator,,,,,,10.009,220416,1,1,-12,0.19997,38.9048,7.7799,0.865,-21.20149,27.00602,-0.68346,10.11233,93.7543,20.4167,0.5539,0.0529,4000,0.05539,,0.33334,0.33334,0.33333,1.00003,1e-05,0.33334,0.33334,0.33333,0.0,0.92,32.5,OK,IWP Generator_0.20,0.085909,0.026958,0.025204,0.047435,0.067543,0.069771,0.258478,0.855076,0.19997,TPMS|IWP Generator|9,quadratic
TPMS,IWP Generator_0.22.stl,IWP Generator,,,,,,10.013,220448,1,1,-12,0.21949,35.6675,7.8286,0.864,-21.37799,27.5291,-0.7531,9.99728,96.4231,19.931,0.6089,0.0599,4000,0.06089,,0.33334,0.33334,0.33332,1.00008,3e-05,0.33334,0.33334,0.33332,1e-05,0.913,31.9,OK,IWP Generator_0.22,0.098574,0.030643,0.028287,0.055225,0.076706,0.079134,0.2601,0.832819,0.21949,TPMS|IWP Generator|10,quadratic
TPMS,IWP Generator_0.24.stl,IWP Generator,,,,,,10.01,221824,1,1,-12,0.23943,32.93,7.8845,0.851,-21.39443,27.6297,-0.83302,10.05904,101.9365,20.4109,0.6654,0.066,4000,0.06654,,0.33335,0.33335,0.33331,1.00013,4e-05,0.33335,0.33335,0.33331,2e-05,0.908,33.6,OK,IWP Generator_0.24,0.111974,0.034535,0.031528,0.061938,0.086382,0.089018,0.261495,0.814279,0.23943,TPMS|IWP Generator|11,quadratic
TPMS,IWP Generator_0.26.stl,IWP Generator,,,,,,10.013,222656,1,1,-12,0.25903,30.6031,7.9271,0.846,-21.54981,28.63309,-0.91291,9.99213,102.9453,20.3744,0.7182,0.0709,4000,0.07182,,0.33333,0.33333,0.33333,1.0,0.0,0.33333,0.33333,0.33333,0.0,0.899,33.0,OK,IWP Generator_0.26,0.126186,0.038619,0.03497,0.067512,0.096604,0.099472,0.262518,0.798715,0.25903,TPMS|IWP Generator|12,quadratic
TPMS,IWP Generator_0.28.stl,IWP Generator,,,,,,10.013,222672,1,1,-12,0.27894,28.5983,7.9771,0.841,-21.72919,28.80344,-0.98552,10.01547,100.7517,21.1878,0.7691,0.079,4000,0.07691,,0.33336,0.33332,0.33331,1.00015,5e-05,0.33331,0.33332,0.33336,2e-05,0.891,33.1,OK,IWP Generator_0.28,0.140909,0.042796,0.038582,0.072336,0.107314,0.110449,0.263107,0.786487,0.27894,TPMS|IWP Generator|13,quadratic
TPMS,IWP Generator_0.30.stl,IWP Generator,,,,,,10.011,223920,1,1,-12,0.29909,26.8373,8.0268,0.831,-21.6085,29.25331,-1.05853,10.27242,104.4136,21.1856,0.8222,0.0872,4000,0.08222,,0.33334,0.33334,0.33333,1.00003,1e-05,0.33334,0.33334,0.33333,0.0,0.886,31.8,OK,IWP Generator_0.30,0.15616,0.047012,0.042323,0.07662,0.118447,0.12188,0.263386,0.775516,0.29909,TPMS|IWP Generator|14,quadratic
TPMS,K Generator_0.10.stl,K Generator,,,,,,10.015,256512,1,1,-44,0.09918,84.3126,8.3622,0.888,-28.03231,34.72057,-0.527,10.30671,166.0018,22.2199,0.2348,0.0446,4000,0.02348,,0.33333,0.33333,0.33333,1.00001,0.0,0.33333,0.33333,0.33333,0.0,0.965,31.5,OK,K Generator_0.10,0.028503,0.01561,0.014241,0.192891,0.026491,0.026942,0.27823,2.208998,0.09918,TPMS|K Generator|4,quadratic
TPMS,K Generator_0.12.stl,K Generator,,,,,,10.012,258976,1,1,-44,0.11963,70.7295,8.4611,0.883,-27.32723,34.8404,-0.6405,10.00725,164.6021,23.0324,0.2837,0.052,4000,0.02837,,0.33336,0.33333,0.3333,1.00017,6e-05,0.3333,0.33333,0.33336,2e-05,0.955,32.4,OK,K Generator_0.12,0.036268,0.019355,0.017553,0.180422,0.033442,0.034045,0.276985,2.075612,0.11963,TPMS|K Generator|5,quadratic
TPMS,K Generator_0.14.stl,K Generator,,,,,,10.015,259488,1,1,-44,0.139,61.4715,8.5448,0.874,-27.76163,33.53809,-0.77088,10.16286,179.6242,22.5901,0.3264,0.0602,4000,0.03264,,0.33333,0.33333,0.33333,1.00001,0.0,0.33333,0.33333,0.33333,0.0,0.945,32.7,OK,K Generator_0.14,0.044295,0.02301,0.02081,0.168294,0.040559,0.041339,0.275459,1.955311,0.139,TPMS|K Generator|6,quadratic
TPMS,K Generator_0.16.stl,K Generator,,,,,,10.014,261360,1,1,-44,0.15947,54.1228,8.6311,0.864,-26.75827,33.68632,-0.89171,10.18268,163.4136,22.8774,0.3698,0.0642,4000,0.03698,,0.33334,0.33333,0.33333,1.00002,1e-05,0.33333,0.33333,0.33334,0.0,0.938,33.3,OK,K Generator_0.16,0.053476,0.026948,0.024358,0.155197,0.048618,0.049625,0.27361,1.836348,0.15947,TPMS|K Generator|7,quadratic
TPMS,K Generator_0.18.stl,K Generator,,,,,,10.015,262464,1,1,-44,0.17888,48.686,8.7088,0.86,-27.43059,32.754,-1.01251,9.99679,186.6422,23.3978,0.4157,0.0727,4000,0.04157,,0.33333,0.33333,0.33333,1.0,0.0,0.33333,0.33333,0.33333,0.0,0.927,32.5,OK,K Generator_0.18,0.062877,0.030756,0.027831,0.142746,0.056778,0.058039,0.271766,1.732872,0.17888,TPMS|K Generator|8,quadratic
TPMS,K Generator_0.20.stl,K Generator,,,,,,10.015,263568,1,1,-44,0.19936,44.0733,8.7864,0.849,-26.83986,31.69584,-1.16717,10.08517,174.8515,23.6327,0.4513,0.081,4000,0.04513,,0.33334,0.33333,0.33332,1.00005,2e-05,0.33333,0.33333,0.33334,1e-05,0.921,34.2,OK,K Generator_0.20,0.073617,0.03485,0.031629,0.129433,0.065999,0.067572,0.269745,1.631772,0.19936,TPMS|K Generator|9,quadratic
TPMS,K Generator_0.22.stl,K Generator,,,,,,10.014,264592,1,1,-44,0.21882,40.4412,8.8494,0.84,-26.93797,31.55689,-1.27295,9.95133,201.1311,24.2637,0.4942,0.0854,4000,0.04942,,0.33337,0.33333,0.3333,1.00022,7e-05,0.3333,0.33333,0.33337,3e-05,0.91,33.8,OK,K Generator_0.22,0.084423,0.038773,0.035313,0.117131,0.075175,0.077077,0.267921,1.547119,0.21882,TPMS|K Generator|10,quadratic
TPMS,K Generator_0.24.stl,K Generator,,,,,,10.015,265520,1,1,-44,0.23884,37.388,8.9297,0.832,-25.92291,29.78376,-1.43785,9.99615,186.15,23.806,0.5395,0.0957,4000,0.05395,,0.33338,0.33334,0.33328,1.00029,0.0001,0.33333,0.33337,0.3333,3e-05,0.901,35.3,OK,K Generator_0.24,0.096456,0.042904,0.039253,0.104301,0.085271,0.087556,0.266083,1.465973,0.23884,TPMS|K Generator|11,quadratic
TPMS,K Generator_0.26.stl,K Generator,,,,,,10.017,265632,1,1,-44,0.25864,34.6907,8.9723,0.823,-25.05055,29.1629,-1.59987,10.03774,189.586,24.1536,0.5783,0.1046,4000,0.05783,,0.33334,0.33333,0.33333,1.00004,1e-05,0.33333,0.33333,0.33334,1e-05,0.894,34.7,OK,K Generator_0.26,0.109438,0.047141,0.043341,0.091402,0.096014,0.09872,0.264356,1.391445,0.25864,TPMS|K Generator|12,quadratic
TPMS,K Generator_0.28.stl,K Generator,,,,,,10.017,266496,1,1,-44,0.27925,32.3432,9.0317,0.815,-24.03278,27.37395,-1.7754,9.72458,193.5507,25.2677,0.6176,0.1136,4000,0.06176,,0.33334,0.33333,0.33333,1.00002,1e-05,0.33333,0.33333,0.33334,0.0,0.883,33.8,OK,K Generator_0.28,0.123801,0.05164,0.047701,0.078336,0.107729,0.110904,0.262783,1.322088,0.27925,TPMS|K Generator|13,quadratic
TPMS,K Generator_0.30.stl,K Generator,,,,,,10.013,266306,1,1,-44,0.29902,30.4467,9.1043,0.807,-21.22307,25.56547,-1.9846,9.7469,186.1773,25.4437,0.6609,0.1195,4000,0.06609,,0.33343,0.33332,0.33325,1.00053,0.00018,0.33338,0.33328,0.33335,4e-05,0.875,33.9,OK,K Generator_0.30,0.138484,0.05602,0.052002,0.065888,0.119555,0.123213,0.261405,1.261193,0.29902,TPMS|K Generator|14,quadratic
TPMS,Neovius Generator_0.10.stl,Neovius Generator,,,,,,10.014,206784,1,1,-20,0.09896,75.0076,7.4225,0.894,-25.73996,25.37448,-0.58375,8.85625,239.1013,27.5073,0.2594,0.0872,4000,0.02594,,0.33334,0.33334,0.33332,1.00004,1e-05,0.33334,0.33334,0.33332,1e-05,0.952,33.9,OK,Neovius Generator_0.10,0.052343,0.017159,0.006826,0.218361,0.027103,0.026223,0.343629,0.388002,0.09896,TPMS|Neovius Generator|4,quadratic
TPMS,Neovius Generator_0.12.stl,Neovius Generator,,,,,,10.013,207264,1,1,-20,0.11931,62.817,7.495,0.883,-25.93299,25.31245,-0.71544,8.7233,246.0869,28.32,0.3128,0.1012,4000,0.03128,,0.33334,0.33333,0.33333,1.00001,0.0,0.33333,0.33333,0.33334,0.0,0.941,37.4,OK,Neovius Generator_0.12,0.064401,0.020877,0.008844,0.212246,0.03428,0.033292,0.338545,0.406409,0.11931,TPMS|Neovius Generator|5,quadratic
TPMS,Neovius Generator_0.14.stl,Neovius Generator,,,,,,10.013,207936,1,1,-20,0.13965,54.0893,7.5535,0.874,-25.86191,26.39251,-0.8414,8.60263,241.7898,29.1002,0.3636,0.1113,4000,0.03636,,0.33334,0.33333,0.33333,1.00001,0.0,0.33333,0.33333,0.33334,0.0,0.932,35.7,OK,Neovius Generator_0.14,0.076757,0.024679,0.011117,0.204864,0.042017,0.040963,0.333421,0.42695,0.13965,TPMS|Neovius Generator|6,quadratic
TPMS,Neovius Generator_0.16.stl,Neovius Generator,,,,,,10.008,208320,1,1,-20,0.1594,47.7571,7.6125,0.865,-26.09543,25.22279,-0.97681,8.44896,259.4288,29.4423,0.412,0.1234,4000,0.0412,,0.33335,0.33334,0.33331,1.00013,4e-05,0.33334,0.33335,0.33331,1e-05,0.923,35.5,OK,Neovius Generator_0.16,0.088812,0.028395,0.01354,0.196837,0.049932,0.048859,0.328537,0.448228,0.1594,TPMS|Neovius Generator|7,quadratic
TPMS,Neovius Generator_0.18.stl,Neovius Generator,,,,,,10.013,208704,1,1,-20,0.17878,42.7588,7.6444,0.856,-26.27394,24.7322,-1.11519,8.34154,265.5297,30.1587,0.4583,0.1337,4000,0.04583,,0.33334,0.33333,0.33333,1.00004,1e-05,0.33333,0.33333,0.33334,1e-05,0.913,33.6,OK,Neovius Generator_0.18,0.101324,0.032269,0.016262,0.18807,0.058499,0.057453,0.323661,0.470981,0.17878,TPMS|Neovius Generator|8,quadratic
TPMS,Neovius Generator_0.20.stl,Neovius Generator,,,,,,10.016,208704,1,1,-20,0.19916,38.5347,7.6744,0.847,-26.10896,23.64805,-1.27442,8.31085,285.5754,31.942,0.5119,0.1431,4000,0.05119,,0.33333,0.33333,0.33333,1.00001,0.0,0.33333,0.33333,0.33333,0.0,0.905,33.9,OK,Neovius Generator_0.20,0.114837,0.036487,0.019436,0.178209,0.06814,0.067179,0.318605,0.496134,0.19916,TPMS|Neovius Generator|9,quadratic
TPMS,Neovius Generator_0.22.stl,Neovius Generator,,,,,,10.014,209664,1,1,-20,0.21934,35.1422,7.7081,0.832,-26.70495,22.10911,-1.4396,8.04634,308.2787,33.2116,0.5639,0.1533,4000,0.05639,,0.33333,0.33333,0.33333,1.0,0.0,0.33333,0.33333,0.33333,0.0,0.891,33.6,OK,Neovius Generator_0.22,0.128433,0.040794,0.02286,0.168107,0.078192,0.077367,0.313857,0.521682,0.21934,TPMS|Neovius Generator|10,quadratic
TPMS,Neovius Generator_0.24.stl,Neovius Generator,,,,,,10.014,208800,1,1,-20,0.23948,32.2725,7.7285,0.817,-26.75683,18.7514,-1.61125,7.86897,332.2225,34.2099,0.6146,0.1615,4000,0.06146,,0.33334,0.33333,0.33333,1.00001,0.0,0.33333,0.33333,0.33334,0.0,0.88,34.0,OK,Neovius Generator_0.24,0.142566,0.045348,0.02666,0.157494,0.088999,0.088372,0.309233,0.548458,0.23948,TPMS|Neovius Generator|11,quadratic
TPMS,Neovius Generator_0.26.stl,Neovius Generator,,,,,,10.015,207744,1,1,-20,0.25879,29.8752,7.7314,0.805,-26.55958,16.43269,-1.81081,7.83701,358.4438,36.8856,0.6658,0.171,4000,0.06658,,0.33333,0.33333,0.33333,1.0,0.0,0.33333,0.33333,0.33333,0.0,0.868,33.6,OK,Neovius Generator_0.26,0.156711,0.049987,0.030676,0.147079,0.100112,0.099729,0.304999,0.574866,0.25879,TPMS|Neovius Generator|12,quadratic
TPMS,Neovius Generator_0.28.stl,Neovius Generator,,,,,,10.014,207152,1,1,-20,0.27919,27.6896,7.7307,0.793,-26.13581,13.81422,-2.03106,7.52849,400.1578,37.0207,0.7093,0.1807,4000,0.07093,,0.33335,0.33333,0.33332,1.00008,3e-05,0.33332,0.33333,0.33335,1e-05,0.856,33.0,OK,Neovius Generator_0.28,0.172182,0.055186,0.035266,0.136066,0.112513,0.112434,0.300908,0.602853,0.27919,TPMS|Neovius Generator|13,quadratic
TPMS,Neovius Generator_0.30.stl,Neovius Generator,,,,,,10.015,205776,1,1,-20,0.29904,25.7592,7.703,0.778,-25.11423,10.73626,-2.28223,7.15657,452.876,42.2203,0.7644,0.1967,4000,0.07644,,0.33333,0.33333,0.33333,1.00001,0.0,0.33333,0.33333,0.33333,0.0,0.841,32.9,OK,Neovius Generator_0.30,0.187174,0.060328,0.039955,0.125438,0.124843,0.12511,0.297224,0.629978,0.29904,TPMS|Neovius Generator|14,quadratic
TPMS,OCTO Generator_0.14.stl,OCTO Generator,,,,,,10.045,215556,1,1,4,0.1376,56.0429,7.7114,0.896,-10.22221,8.66976,-1.31918,4.62772,226.1297,28.3885,0.3194,0.117,4000,0.03194,,0.3334,0.33334,0.33326,1.00044,0.00015,0.33326,0.33334,0.3334,6e-05,0.958,32.3,OK,OCTO Generator_0.14,0.055507,0.016396,0.015071,0.079121,0.042192,0.043494,0.261087,0.770652,0.1376,TPMS|OCTO Generator|6,quadratic
TPMS,OCTO Generator_0.16.stl,OCTO Generator,,,,,,10.04,215520,1,1,4,0.15805,48.8954,7.7281,0.885,-10.47544,9.67213,-1.39712,4.60787,203.7726,30.3378,0.3664,0.1271,4000,0.03664,,0.3334,0.33332,0.33328,1.00035,0.00012,0.33329,0.33332,0.33339,4e-05,0.95,32.5,OK,OCTO Generator_0.16,0.080998,0.024838,0.022245,0.069877,0.061726,0.063493,0.263816,0.79219,0.15805,TPMS|OCTO Generator|7,quadratic
TPMS,OCTO Generator_0.18.stl,OCTO Generator,,,,,,10.042,216224,1,1,4,0.17769,43.4979,7.7292,0.874,-10.63972,11.00973,-1.48764,4.60048,196.6738,28.9364,0.4159,0.1398,4000,0.04159,,0.33341,0.3333,0.33329,1.00036,0.00012,0.3333,0.3333,0.33341,5e-05,0.941,31.5,OK,OCTO Generator_0.18,0.094444,0.029372,0.026003,0.066829,0.071972,0.073959,0.265084,0.799205,0.17769,TPMS|OCTO Generator|8,quadratic
TPMS,OCTO Generator_0.20.stl,OCTO Generator,,,,,,10.029,216400,1,1,4,0.19786,39.2494,7.7658,0.866,-10.71553,11.70536,-1.54513,4.50573,190.4693,28.4946,0.4668,0.1503,4000,0.04668,,0.33334,0.33333,0.33333,1.00003,1e-05,0.33333,0.33333,0.33334,0.0,0.933,31.2,OK,OCTO Generator_0.20,0.108452,0.034169,0.029939,0.063944,0.082653,0.084857,0.266231,0.806087,0.19786,TPMS|OCTO Generator|9,quadratic
TPMS,OCTO Generator_0.22.stl,OCTO Generator,,,,,,10.04,215336,1,1,4,0.21726,35.7044,7.7571,0.857,-10.88294,12.86801,-1.64188,4.52627,192.5704,27.8684,0.5182,0.1591,4000,0.05182,,0.33341,0.33333,0.33327,1.00043,0.00014,0.33327,0.33333,0.3334,6e-05,0.924,31.3,OK,OCTO Generator_0.22,0.123364,0.039284,0.034141,0.06147,0.094036,0.096474,0.267146,0.812117,0.21726,TPMS|OCTO Generator|10,quadratic
TPMS,OCTO Generator_0.24.stl,OCTO Generator,,,,,,10.036,215176,1,1,4,0.23721,32.7779,7.7751,0.848,-10.99232,13.52683,-1.72838,4.47604,196.2186,28.9394,0.5658,0.1681,4000,0.05658,,0.33336,0.33333,0.33331,1.00016,5e-05,0.33335,0.33334,0.33331,2e-05,0.915,32.0,OK,OCTO Generator_0.24,0.138751,0.044555,0.038507,0.059318,0.105829,0.108519,0.267772,0.817602,0.23721,TPMS|OCTO Generator|11,quadratic
TPMS,OCTO Generator_0.26.stl,OCTO Generator,,,,,,10.052,215096,1,1,4,0.25605,30.2217,7.7383,0.841,-11.24509,13.67014,-1.81444,4.38808,197.476,28.4079,0.6198,0.1741,4000,0.06198,,0.3334,0.33332,0.33328,1.00038,0.00013,0.33328,0.3334,0.33332,5e-05,0.908,32.1,OK,OCTO Generator_0.26,0.155217,0.050185,0.043184,0.057517,0.118456,0.121421,0.268255,0.822312,0.25605,TPMS|OCTO Generator|12,quadratic
TPMS,OCTO Generator_0.28.stl,OCTO Generator,,,,,,10.057,214960,1,1,4,0.27484,28.1705,7.7424,0.83,-11.3237,14.05853,-1.90528,4.36665,209.2686,28.3315,0.6673,0.1807,4000,0.06673,,0.3334,0.33331,0.33329,1.00032,0.00011,0.33332,0.33339,0.33329,4e-05,0.898,31.7,OK,OCTO Generator_0.28,0.171332,0.055711,0.047803,0.055819,0.130876,0.134116,0.268592,0.826886,0.27484,TPMS|OCTO Generator|13,quadratic
TPMS,OCTO Generator_0.30.stl,OCTO Generator,,,,,,10.098,214336,1,1,4,0.29125,26.3205,7.6659,0.822,-11.38609,14.08968,-2.01668,4.22496,221.346,29.0467,0.723,0.1913,4000,0.0723,,0.33337,0.33333,0.3333,1.00021,7e-05,0.33337,0.33333,0.3333,3e-05,0.887,30.5,OK,OCTO Generator_0.30,0.188847,0.061678,0.052817,0.054369,0.144359,0.14791,0.268792,0.830661,0.29125,TPMS|OCTO Generator|14,quadratic
TPMS,P Generator_0.10.stl,P Generator,,,,,,10.015,159888,1,1,-8,0.0994,51.4033,5.1096,0.883,-9.81382,11.25658,-0.25366,6.022,39.9337,11.4732,0.4168,0.0558,4000,0.04168,,0.33333,0.33333,0.33333,1.0,0.0,0.33333,0.33333,0.33333,0.0,0.948,20.6,OK,P Generator_0.10,0.038775,0.027292,0.018644,0.206182,0.031074,0.030291,0.333581,3.247416,0.0994,TPMS|P Generator|4,quadratic
TPMS,P Generator_0.12.stl,P Generator,,,,,,10.014,161280,1,1,-8,0.11941,43.4968,5.1941,0.875,-9.98447,10.89168,-0.2956,5.91533,43.3253,11.838,0.4985,0.0673,4000,0.04985,,0.33334,0.33333,0.33333,1.00004,1e-05,0.33333,0.33333,0.33334,1e-05,0.937,21.4,OK,P Generator_0.12,0.047438,0.032783,0.022692,0.203266,0.03842,0.037553,0.330017,3.096835,0.11941,TPMS|P Generator|5,quadratic
TPMS,P Generator_0.14.stl,P Generator,,,,,,10.014,162480,1,1,-8,0.13884,37.967,5.2715,0.866,-10.03802,11.64276,-0.35139,5.82845,45.3838,11.4924,0.5794,0.0777,4000,0.05794,,0.33333,0.33333,0.33333,1.0,0.0,0.33333,0.33333,0.33333,0.0,0.925,21.4,OK,P Generator_0.14,0.056227,0.038125,0.026759,0.200207,0.046009,0.045095,0.32635,2.95639,0.13884,TPMS|P Generator|6,quadratic
TPMS,P Generator_0.16.stl,P Generator,,,,,,10.013,164784,1,1,-8,0.15937,33.5673,5.3497,0.851,-9.80377,11.56961,-0.41027,6.0911,43.3966,11.5762,0.6611,0.0871,4000,0.06611,,0.33333,0.33333,0.33333,1.0,0.0,0.33333,0.33333,0.33333,0.0,0.916,21.5,OK,P Generator_0.16,0.065952,0.043754,0.031193,0.196562,0.054543,0.053624,0.322295,2.81044,0.15937,TPMS|P Generator|7,quadratic
TPMS,P Generator_0.18.stl,P Generator,,,,,,10.016,166128,1,1,-8,0.17931,30.2813,5.4298,0.844,-9.94913,11.92723,-0.46874,6.15712,41.6053,11.9307,0.7392,0.0977,4000,0.07392,,0.33333,0.33333,0.33333,1.00001,0.0,0.33333,0.33333,0.33333,0.0,0.905,21.3,OK,P Generator_0.18,0.075832,0.049187,0.035626,0.192602,0.063333,0.062457,0.318236,2.674158,0.17931,TPMS|P Generator|8,quadratic
TPMS,P Generator_0.20.stl,P Generator,,,,,,10.017,167040,1,1,-8,0.19865,27.6818,5.4989,0.833,-10.05119,11.43797,-0.52255,6.12461,47.1469,11.7484,0.8091,0.1092,4000,0.08091,,0.33334,0.33333,0.33333,1.00001,0.0,0.33333,0.33333,0.33334,0.0,0.894,22.2,OK,P Generator_0.20,0.085828,0.054419,0.040045,0.188464,0.07232,0.071536,0.314242,2.549971,0.19865,TPMS|P Generator|9,quadratic
TPMS,P Generator_0.22.stl,P Generator,,,,,,10.017,168144,1,1,-8,0.21861,25.4912,5.5727,0.827,-10.21407,12.03088,-0.56516,6.0824,52.1093,12.3319,0.881,0.1234,4000,0.0881,,0.33333,0.33333,0.33333,1.00001,0.0,0.33333,0.33333,0.33333,0.0,0.883,21.5,OK,P Generator_0.22,0.096687,0.059815,0.044738,0.183636,0.082146,0.081511,0.31014,2.426639,0.21861,TPMS|P Generator|10,quadratic
TPMS,P Generator_0.24.stl,P Generator,,,,,,10.016,169616,1,1,-8,0.23864,23.659,5.646,0.814,-10.18276,11.24017,-0.64381,6.13656,51.7118,11.934,0.9569,0.1401,4000,0.09569,,0.33333,0.33333,0.33333,1.00001,0.0,0.33333,0.33333,0.33333,0.0,0.873,21.9,OK,P Generator_0.24,0.108163,0.065271,0.049607,0.178458,0.092563,0.092129,0.306122,2.313052,0.23864,TPMS|P Generator|11,quadratic
TPMS,P Generator_0.26.stl,P Generator,,,,,,10.015,171312,1,1,-8,0.25874,22.0986,5.7178,0.801,-10.06988,11.56356,-0.70062,6.07865,47.7836,12.0889,1.025,0.1636,4000,0.1025,,0.33334,0.33333,0.33333,1.00002,1e-05,0.33333,0.33333,0.33334,0.0,0.864,21.7,OK,P Generator_0.26,0.120264,0.070717,0.054611,0.172901,0.103549,0.103378,0.302158,2.204382,0.25874,TPMS|P Generator|12,quadratic
TPMS,P Generator_0.28.stl,P Generator,,,,,,10.015,171984,1,1,-8,0.27883,20.7791,5.7938,0.795,-10.19225,11.3716,-0.75432,6.03611,56.3295,12.3704,1.0966,0.1835,4000,0.10966,,0.33333,0.33333,0.33333,1.0,0.0,0.33333,0.33333,0.33333,0.0,0.853,22.2,OK,P Generator_0.28,0.133007,0.076216,0.059791,0.167009,0.115125,0.115273,0.298331,2.105651,0.27883,TPMS|P Generator|13,quadratic
TPMS,P Generator_0.30.stl,P Generator,,,,,,10.012,173088,1,1,-8,0.29904,19.6049,5.8626,0.784,-10.23104,11.03669,-0.82918,6.07682,58.737,12.6553,1.1646,0.2051,4000,0.11646,,0.33334,0.33334,0.33333,1.00002,1e-05,0.33334,0.33334,0.33333,0.0,0.84,22.6,OK,P Generator_0.30,0.146568,0.081848,0.065131,0.160629,0.12736,0.127878,0.294731,2.012687,0.29904,TPMS|P Generator|14,quadratic
TPMS,P+C(P) Generator_0.10.stl,P+C(P) Generator,,,,,,10.017,229216,1,1,-32,0.09912,78.9998,7.8305,0.894,-37.71869,51.93119,-0.51845,13.52605,213.7609,27.8799,0.2742,0.0504,4000,0.02742,,0.33335,0.33334,0.33331,1.00013,4e-05,0.33332,0.33333,0.33335,1e-05,0.98,32.5,OK,P+C(P) Generator_0.10,0.019501,0.007054,0.008592,0.102252,0.018496,0.019631,0.224835,1.380623,0.09912,TPMS|P+C(P) Generator|4,quadratic
TPMS,P+C(P) Generator_0.12.stl,P+C(P) Generator,,,,,,10.015,229552,1,1,-32,0.11889,66.3728,7.8911,0.885,-37.78882,51.55863,-0.65924,13.52983,215.5255,27.5354,0.3259,0.0619,4000,0.03259,,0.33335,0.33334,0.33331,1.00013,4e-05,0.33334,0.33335,0.33331,2e-05,0.974,32.9,OK,P+C(P) Generator_0.12,0.025732,0.009246,0.010854,0.086504,0.023909,0.025276,0.229675,1.31681,0.11889,TPMS|P+C(P) Generator|5,quadratic
TPMS,P+C(P) Generator_0.14.stl,P+C(P) Generator,,,,,,10.018,229584,1,1,-32,0.13905,57.1166,7.9419,0.879,-37.86168,52.63798,-0.79146,13.49988,230.5692,27.6816,0.3831,0.0722,4000,0.03831,,0.33337,0.33335,0.33329,1.00024,8e-05,0.33334,0.3333,0.33336,3e-05,0.966,33.6,OK,P+C(P) Generator_0.14,0.032826,0.011654,0.013335,0.072255,0.029981,0.03161,0.23298,1.259714,0.13905,TPMS|P+C(P) Generator|6,quadratic
TPMS,P+C(P) Generator_0.16.stl,P+C(P) Generator,,,,,,10.015,231440,1,1,-32,0.15899,50.315,7.9997,0.869,-38.3561,51.67723,-0.92077,13.58968,239.6627,29.1111,0.4359,0.0815,4000,0.04359,,0.33337,0.33335,0.33327,1.0003,0.0001,0.33337,0.33336,0.33328,4e-05,0.959,34.1,OK,P+C(P) Generator_0.16,0.040557,0.014211,0.015938,0.059454,0.036492,0.038397,0.235512,1.209881,0.15899,TPMS|P+C(P) Generator|7,quadratic
TPMS,P+C(P) Generator_0.18.stl,P+C(P) Generator,,,,,,10.015,231952,1,1,-32,0.17899,44.982,8.0513,0.859,-38.52695,52.2273,-1.06395,13.37025,250.3433,29.9313,0.4867,0.0928,4000,0.04867,,0.33335,0.33335,0.3333,1.00015,5e-05,0.33335,0.33335,0.3333,2e-05,0.951,34.9,OK,P+C(P) Generator_0.18,0.049044,0.016939,0.01871,0.047784,0.043551,0.045754,0.237407,1.165581,0.17899,TPMS|P+C(P) Generator|8,quadratic
TPMS,P+C(P) Generator_0.20.stl,P+C(P) Generator,,,,,,10.016,232560,1,1,-32,0.19845,40.7638,8.0895,0.851,-38.37466,50.28833,-1.18478,13.38175,270.3672,30.6307,0.5429,0.1042,4000,0.05429,,0.33334,0.33334,0.33333,1.00002,1e-05,0.33334,0.33334,0.33333,0.0,0.94,34.9,OK,P+C(P) Generator_0.20,0.058022,0.019754,0.021572,0.037457,0.050941,0.053456,0.238834,1.127404,0.19845,TPMS|P+C(P) Generator|9,quadratic
