dataset,file,topology,inner,density_param,t_input,seed,size_multi,bbox_mm,n_tris,watertight,winding_ok,euler,VF,SAV_x_cell,rel_surface,interior_vert_frac,curv_gauss_mean_xL2,curv_gauss_iqr_xL2,curv_mean_mean_xL,curv_mean_iqr_xL,curv_gauss_p99_xL2,curv_mean_p99_xL,thickness_med_mm,thickness_std_mm,thickness_hits,thickness_over_cell,thickness_ratio,fabric_l1,fabric_l2,fabric_l3,fabric_DA,fabric_aniso,normal_x,normal_y,normal_z,normal_spread,fabric_kept_frac,extract_s,status,Run,adms_type,E_over_Es,G_over_Gs,nu_iso,TAI,Zener_Z,C11_n,C12_n,C44_n,onset_n,shear_onset_n,Rho_rel,GaussCurv_nTop,MeanCurv_nTop,Status,Version,VF_vs_rho,thickness_ratio_chk,curv_gauss_vs_ntop,curv_mean_vs_ntop
ADMS,ADMS_DF_i9p0_d26p89_t0p31_s2_m1p6.stl,,9.0,26.89,0.31,2,1.6,9.019,1193024,1,1,-132,0.19896,20.6119,4.1009,0.831,-9.55635,14.06583,-0.50996,7.22355,256.9541,41.574,0.3115,0.0166,4000,0.10385,1.005,0.35803,0.33533,0.30664,1.1676,0.05139,0.33385,0.33811,0.32804,0.00412,0.937,7.4,OK,ADMS_DF_i9p0_d26p89_t0p31_s2_m1p6,df,0.0392,0.04168,0.2228,0.1364,0.9445,0.04319,0.012769999999999998,0.015695,,0.020096,0.2005742612366345,-10.400495,-0.47036278,OK (no compression CSV),1,0.992,1.0048,0.9188,1.0842
ADMS,ADMS_raw_i15p0_d22p85_t0p41_s2_m1p6.stl,,15.0,22.85,0.41,2,1.6,15.014,4128960,0,1,-281,0.19944,15.0774,3.0071,0.89,-4.74654,6.66596,-0.33267,4.71873,165.075,32.6279,0.4111,0.0061,4000,0.13705,1.003,0.35328,0.32922,0.3175,1.11269,0.03578,0.32868,0.33481,0.33651,0.00336,0.968,22.1,OK,ADMS_raw_i15p0_d22p85_t0p41_s2_m1p6,raw,0.05228,0.05318,0.278,0.1119,1.5101,0.06341000000000001,0.027865,0.023319999999999997,0.043688000000000005,0.02984,0.2000815115064166,-5.0207084,-0.38025441,OK,1,0.9968,1.0027,0.9454,0.8749
ADMS,ADMS_DF_i18p0_d21p0_t0p4_s2_m1p6.stl,,18.0,21.0,0.4,2,1.6,18.015,7188356,1,1,-546,0.20074,15.4135,3.0942,0.866,-5.60228,6.9398,-0.37883,4.86411,204.1606,35.9947,0.4012,0.0032,4000,0.13373,1.003,0.35294,0.3295,0.31756,1.11143,0.03538,0.33391,0.32382,0.34228,0.00755,0.965,38.7,OK,ADMS_DF_i18p0_d21p0_t0p4_s2_m1p6,df,0.05031,0.05209,0.2555,0.066,1.0223,0.055279999999999996,0.021355,0.02051,0.037472,,0.2014,-6.1857539,-0.43587603,OK (legacy),1,0.9967,1.003,0.9057,0.8691
ADMS,ADMS_raw_i12p0_d26p89_t0p34_s2_m1p6.stl,,12.0,26.89,0.34,2,1.6,12.014,2611208,1,1,-258,0.20314,18.1903,3.6952,0.889,-6.90184,10.77459,-0.40338,6.21572,193.0309,36.0119,0.3409,0.0056,4000,0.11363,1.003,0.35246,0.32674,0.3208,1.09868,0.03166,0.32834,0.3415,0.33016,0.00582,0.968,15.5,OK,ADMS_raw_i12p0_d26p89_t0p34_s2_m1p6,raw,0.05593,0.05666,0.2833,0.1268,1.5907,0.063415,0.03169,0.026770000000000002,0.045904,0.030303999999999998,0.2041123409193781,-7.2973653,-0.48074743,OK,1,0.9952,1.0026,0.9458,0.8391
ADMS,ADMS_raw_i15p0_d30p93_t0p29_s2_m1p6.stl,,15.0,30.93,0.29,2,1.6,15.015,5817564,1,1,-890,0.204,20.8618,4.2558,0.898,-10.76048,16.4422,-0.53491,7.94854,238.2571,40.8271,0.2921,0.0027,4000,0.09738,1.007,0.35171,0.32606,0.32224,1.09145,0.02947,0.33269,0.33205,0.33526,0.00139,0.979,31.0,OK,ADMS_raw_i15p0_d30p93_t0p29_s2_m1p6,raw,0.05527,0.0565,0.2717,0.0627,1.2021,0.06541000000000001,0.027875,0.023319999999999997,0.042556,0.030647999999999998,0.2044891197586894,-11.357527,-0.56699246,OK,1,0.9976,1.0072,0.9474,0.9434
ADMS,ADMS_DF_i18p0_d26p89_t0p31_s2_m1p6.stl,,18.0,26.89,0.31,2,1.6,18.018,9322472,1,1,-1254,0.20484,19.564,4.0076,0.878,-9.59683,14.14768,-0.50847,7.31365,256.0988,41.6536,0.3117,0.0028,4000,0.10389,1.005,0.35682,0.32635,0.31683,1.12623,0.03999,0.32174,0.34638,0.33188,0.01011,0.972,52.6,OK,ADMS_DF_i18p0_d26p89_t0p31_s2_m1p6,df,0.05703,0.05841,0.2694,0.0394,0.9703,0.07388,0.026585,0.022099999999999998,0.041659999999999996,0.02934,0.2053988719795369,-10.540061,-0.6103049,OK,1,0.9973,1.0055,0.9105,0.8331
ADMS,ADMS_raw_i18p0_d26p89_t0p34_s2_m1p6.stl,,18.0,26.89,0.34,2,1.6,18.014,8668348,1,1,-988,0.20608,17.8234,3.673,0.896,-8.0348,11.73753,-0.46818,6.50758,216.1889,37.9195,0.341,0.0026,4000,0.11365,1.003,0.35241,0.32928,0.31831,1.10712,0.0341,0.34025,0.33105,0.32871,0.00498,0.979,38.4,OK,ADMS_raw_i18p0_d26p89_t0p34_s2_m1p6,raw,0.05506,0.05629,0.2716,0.0566,1.1859,0.06559,0.027690000000000003,0.022955,0.04278,0.030564,0.2067561513323987,-8.4946531,-0.52787873,OK,1,0.9967,1.0029,0.9459,0.8869
ADMS,ADMS_DF_i15p0_d10p73_t0p8_s2_m1p6.stl,,15.0,10.73,0.8,2,1.6,15.011,2231540,1,1,-42,0.20821,8.0996,1.6864,0.856,-1.45044,1.00322,-0.19243,1.79809,107.1767,25.9347,0.8007,0.0492,4000,0.26689,1.001,0.38317,0.31528,0.30155,1.27068,0.08162,0.33235,0.31505,0.3526,0.01535,0.93,26.0,OK,ADMS_DF_i15p0_d10p73_t0p8_s2_m1p6,df,0.04313,0.04526,0.2387,0.2767,0.8726,0.040945,0.010185,0.013080000000000001,0.038492,,0.2087,-1.5617071,-0.21950979,OK (legacy),1,0.9977,1.0009,0.9288,0.8766
ADMS,ADMS_raw_i15p0_d36p0_t0p26_s2_m1p6.stl,,15.0,36.0,0.26,2,1.6,15.021,6620828,1,1,-1358,0.21012,23.1013,4.8541,0.913,-14.84547,24.52285,-0.65603,9.99383,270.99,43.2307,0.2624,0.0026,4000,0.08748,1.009,0.34663,0.33168,0.32169,1.07755,0.02495,0.3373,0.32831,0.33439,0.00375,0.983,33.6,OK,ADMS_raw_i15p0_d36p0_t0p26_s2_m1p6,raw,0.05576,0.05703,0.2712,0.0341,1.0703,0.06844,0.025859999999999998,0.022065,0.044012,0.030199999999999998,0.2107253364719704,-15.679493,-0.62391316,OK,1,0.9971,1.0092,0.9468,1.0515
ADMS,ADMS_DF_i15p0_d20p83_t0p4_s2_m2p0.stl,,15.0,20.83,0.4,2,2.0,15.014,4384244,1,1,-348,0.21167,15.6218,3.3067,0.844,-5.91463,7.21717,-0.39788,5.02991,222.58,37.7299,0.4011,0.0082,4000,0.13371,1.003,0.37252,0.32009,0.30739,1.21189,0.06513,0.33477,0.32565,0.33959,0.00578,0.945,25.4,OK,ADMS_DF_i15p0_d20p83_t0p4_s2_m2p0,df,0.05474,0.05645,0.2608,0.0676,0.9005,0.06701,0.02175,0.020354999999999998,,,0.2124,-6.5925088,-0.45831646,OK (legacy),1,0.9966,1.0028,0.8972,0.8681
